f_city_code,f_main_language
HKG,Cantonese
LON,English
YMQ,French
YVR,English
XMN,Mandarin
YEA,English
SUB,Indonesian
SNN,English
SLC,English
SAN,English
STL,English
SGD,Danish
SGN,Vietnamese
TRV,Malayalam
TLS,French
TPE,Mandarin
SYD,English
SVG,Norwegian
SYR,English
SZG,German
SZX,Mandarin
PHX,English
PMR,English
PEN,Malay
CHI,English
ORK,English
PDX,English
BJS,Mandarin
NCE,French
NGO,Japanese
RUH,Arabic
BKK,Thai
BNE,English
BOM,Hindi
BWN,Malay
NCL,English
NPE,English
NPL,English
TYO,Japanese
SAT,English
RNN,Danish
ROT,English
SHA,Mandarin
BOI,English
CAI,Arabic
CPT,English
DAC,Bengali
DPS,Indonesian
JKT,Indonesian
COS,English
MSP,English
CVG,English
DFW,English
MIA,English
GOT,Swedish
WAS,English
HOU,English
DUS,German
PIT,English
PLZ,English
ELS,English
OSL,Norwegian
TRG,English
BIO,Spanish
BWI,English
LAS,English
CTU,Mandarin
IBZ,Spanish
MDC,Indonesian
PLM,Indonesian
PNH,Khmer
KLU,German
SEA,English
VIE,German
KUL,Malay
MLE,Dhivehi
MNL,Filipino
MAN,English
LNZ,German
SEL,Korean
FMO,German
KEL,German
ROM,Italian
DUB,English
SPK,Japanese
DUR,English
NYC,English
DEN,English
KWI,Arabic
STO,Swedish
PMI,Spanish
VLC,Spanish
AES,Norwegian
BFS,English
BGO,Norwegian
CLE,English
CLT,English
BOS,English
BSL,French
HAM,German
YYC,English
YTO,English
FDH,German
HAJ,German
AMI,Indonesian
ATL,English
AUS,English
ABQ,English
ABZ,English
AAL,Danish
AAR,Danish
LEJ,German
NUE,German
PAD,German
STR,German
MOW,Russian
DUD,English
ZQN,English
SAO,Portuguese
IVC,English
YOW,English
KRS,Norwegian
AYT,Turkish
RIX,Latvian
KHV,Russian
FLL,English
IDR,Hindi
BLQ,Italian
BME,English
ADA,Turkish
AGP,Spanish
HBA,English
HIJ,Japanese
BUH,Romanian
CBR,English
CFE,French
CFS,English
CGN,German
CUN,Spanish
DMM,Arabic
DTT,English
BNA,English
BOD,French
BDQ,Gujarati
BEG,Serbian
ASP,English
AYQ,English
BRI,Italian
ISA,English
JAI,Hindi
JAX,English
JOG,Indonesian
KHH,Mandarin
MPL,French
MPM,Portuguese
MRU,French
NAN,English
NOU,French
NTL,English
ORF,English
LST,English
MCT,Arabic
MKY,English
MLA,Maltese
RDU,English
ROC,English
ROK,English
SEZ,English
SHV,English
TPA,English
PNQ,Marathi
PSP,English
ZAG,Croatian
PLQ,Lithuanian
TRS,Italian
TSV,English
USM,Thai
VNS,Hindi
VRN,Italian
WAW,Polish
RAR,English
ABX,English
BNK,English
HVB,English
MCY,English
PQQ,English
MQL,English
PPP,English
PHE,English
ZNE,English
ADD,Amharic
ANC,English
BAK,Azerbaijani
APW,English
OPO,Portuguese
SCL,Spanish
ASU,Spanish
CWB,Portuguese
GYN,Portuguese
IGU,Portuguese
TFN,Spanish
GZT,Turkish
KYA,Turkish
DLM,Turkish
ASR,Turkish
SZF,Turkish
TZX,Turkish
DNZ,Turkish
BXN,Turkish
HNL,English
SIA,Mandarin
BBI,Odia
RIO,Portuguese
BSB,Portuguese
BHO,Hindi
MES,Indonesian
AUA,Dutch
MSY,English
PWM,English
BHE,English
GIS,English
KKE,English
PPQ,English
TUO,English
WAG,English
EXT,English
ABJ,French
ACC,English
BUE,Spanish
CSX,Mandarin
KMQ,Japanese
TOY,Japanese
LUX,Luxembourgish
GDN,Polish
POZ,Polish
WRO,Polish
ANK,Turkish
BDS,Italian
CEK,Russian
CND,Romanian
IZM,Turkish
KGI,English
REK,Icelandic
OAK,English
KUF,Russian
SJJ,Bosnian
TBU,English
TKU,Finnish
GOI,Konkani
KTA,English
SJC,English
HIR,English
GLT,English
GOA,Italian
GRJ,English
FLR,Italian
KMG,Mandarin
SXM,Dutch
UFA,Russian
VVO,Russian
UUS,Russian
BDB,English
GET,English
KNX,English
TMW,English
OSA,Japanese
KRP,Danish
GLA,English
MAD,Spanish
TRD,Norwegian
MRS,French
LYS,French
NSN,English
KLO,Filipino
BFN,English
VCE,Italian
NAP,Italian
PAR,French
MIL,Italian
ALG,Arabic
DAR,Swahili
DBV,Croatian
BTR,English
BTV,English
BZG,Polish
CNJ,English
COR,Spanish
CRP,English
GAU,Assamese
GWT,German
HDF,German
GPT,English
GRQ,Dutch
EBB,English
EMD,English
FKB,German
KLR,Swedish
KRK,Polish
KRN,Swedish
LAD,Portuguese
LLA,Swedish
MDE,Spanish
MJV,Spanish
MNL,Filipino
MVD,Spanish
POG,French
PSA,Italian
RAK,Arabic
RTM,Dutch
KRR,Russian
KWE,Mandarin
KZN,Russian
INV,English
IOM,English
IXB,Bengali
IXZ,Hindi
JAN,English
JER,English
JJN,Mandarin
JRO,Swahili
KGL,Kinyarwanda
MMH,English
MOB,English
MOV,English
NDJ,French
NQY,English
LGB,English
LJU,Slovene
LPQ,Lao
LRD,English
LUZ,Polish
MAF,English
MBA,Swahili
MBJ,English
MFE,English
PVR,Spanish
RAJ,Gujarati
RNB,Swedish
NWI,English
OSD,Swedish
OUA,French
PBO,English
PEE,Russian
PLS,English
PNR,French
PUJ,Spanish
SUN,English
SVX,Russian
SXR,Kashmiri
ROV,Russian
FMY,English
RZE,Polish
SDL,Swedish
SDQ,Spanish
SFT,Swedish
SJD,Spanish
SJU,Spanish
SOU,English
SPU,Croatian
STI,Spanish
STS,English
STV,Gujarati
UME,Swedish
URC,Mandarin
VBY,Swedish
VLI,English
WNZ,Mandarin
WUX,Mandarin
BLL,Danish
BRE,German
WRE,English
EDI,English
DTM,German
IXC,Hindi
OGG,English
LUG,Italian
WLG,English
DRS,German
HLZ,English
BES,French
DLC,Mandarin
AOI,Italian
CAG,Italian
TRN,Italian
IXL,Hindi
REG,Italian
OXF,English
PHL,English
BUF,English
ORL,English
USN,Korean
PVD,English
IXJ,Hindi
LKO,Hindi
BHX,English
DSA,English
LED,Russian
VNO,Lithuanian
SKG,Greek
LIS,Portuguese
KTW,Polish
HTI,English
NBO,Swahili
VFA,English
PMO,Italian
TLV,Hebrew
ULN,Mongolian
IND,English
SUF,Italian
POM,English
HRB,Mandarin
PBI,English
TUL,English
SRQ,English
FAT,English
AUH,Arabic
YHZ,English
MKE,English
BZE,English
TUS,English
ALC,Spanish
HAU,Norwegian
HER,Greek
CMH,English
DOH,Arabic
DSM,English
ICT,English
LHE,Urdu
IXM,Tamil
JTR,Greek
KHI,Urdu
KKN,Norwegian
KOJ,Japanese
KRT,Arabic
HRE,English
MSN,English
MYJ,Japanese
NLA,English
LPA,Spanish
LUN,English
LXR,Arabic
MKC,English
MED,Arabic
MEM,English
RHO,Greek
RIC,English
RNO,English
SBA,English
SJO,Spanish
SVQ,Spanish
TNR,French
PPT,French
YWG,English
YYT,English
WDH,English
YQR,English
FAO,Portuguese
YIH,Mandarin
CCJ,Malayalam
ASM,Arabic
BDA,English
BEL,Portuguese
BEY,Arabic
BGA,Spanish
BGI,English
BIL,English
BJR,Amharic
BKO,French
ASW,Arabic
AVL,English
AXM,Spanish
AXT,Japanese
AXU,Amharic
BAQ,Spanish
ABV,English
ADZ,Spanish
AER,Russian
ALA,Kazakh
AMM,Arabic
BGW,Arabic
CGQ,Mandarin
IFN,Persian
SYX,Mandarin
HKD,Japanese
SAW,Turkish
KMJ,Japanese
IEV,Ukrainian
LIH,English
MSQ,Belarusian
MMY,Japanese
ONT,English
SAC,English
SPN,English
SYZ,Persian
SKP,Macedonian
ISB,Urdu
IXU,Marathi
NTE,French
YNT,Mandarin
GRR,English
GUA,Spanish
GUM,English
GBE,English
EUG,English
CUR,Dutch
TYN,Mandarin
TAS,Uzbek
TBS,Georgian
EVN,Armenian
CTG,Spanish
CUZ,Spanish
CZX,Mandarin
DCY,Mandarin
DKR,French
DLA,French
DLU,Mandarin
BLZ,English
BUR,English
BUS,Georgian
BZN,English
CCS,Spanish
CHS,English
CID,English
CLJ,Romanian
CLO,Spanish
CAS,Arabic
BHZ,Portuguese
GAY,Hindi
GCM,English
GDQ,Amharic
GEG,English
GYE,Spanish
YVA,French
ALY,Arabic
HET,Mandarin
HFE,Mandarin
HJR,Hindi
HLD,Mandarin
HRG,Arabic
HRK,Ukrainian
GPS,Spanish
DYG,Mandarin
DYU,Tajik
EBL,Kurdish
ECN,Turkish
FAE,Faroese
FLN,Portuguese
FOR,Portuguese
FRU,Kyrgyz
FSD,English
KOA,English
KSC,Slovak
KSU,Norwegian
KWL,Mandarin
LBV,French
HSG,Japanese
IKA,Persian
IMF,Manipuri
INC,Mandarin
IOS,Portuguese
ISG,Japanese
ITO,English
IWK,Japanese
IXR,Hindi
JIB,Arabic
JPA,Portuguese
JUL,Spanish
JUZ,Mandarin
KAN,Hausa
KCZ,Japanese
KHG,Uyghur
KIN,English
KIV,Romanian
MOL,Norwegian
MQX,Amharic
NAS,English
NAT,Portuguese
NAV,Turkish
NIM,French
YAO,French
NTG,Mandarin
MTR,Spanish
LFW,French
LHW,Mandarin
LIM,Spanish
LIR,Spanish
LJG,Mandarin
LLI,Indonesian
LOS,English
LPB,Spanish
LVI,English
LWO,Ukrainian
LXA,Tibetan
LYI,Mandarin
LYR,Norwegian
MAO,Portuguese
MDT,English
MFR,English
MID,Spanish
MIG,Mandarin
PUY,Croatian
RAI,Portuguese
REC,Portuguese
ROR,English
ODS,Ukrainian
OIT,Japanese
OKJ,Japanese
ONJ,Japanese
OZH,Ukrainian
PAP,French
PAT,Hindi
PDL,Portuguese
PEM,Spanish
PNI,English
POA,Portuguese
POP,Spanish
POS,English
PPN,Spanish
PRN,Albanian
PTY,Spanish
TAK,Japanese
TKK,English
TKS,Japanese
NQZ,Kazakh
TTJ,Japanese
TUN,Arabic
TXN,Mandarin
TYS,English
UBJ,Japanese
TGD,Montenegrin
TIA,Albanian
TIU,English
RPR,Hindi
RTB,Spanish
SAP,Spanish
SAV,English
SBZ,Romanian
SCY,Spanish
SID,Portuguese
SMR,Spanish
SSA,Portuguese
SSG,Spanish
SSH,Arabic
YGJ,Japanese
YIN,Mandarin
YIW,Mandarin
YNJ,Mandarin
UIO,Spanish
SLU,English
VAR,Bulgarian
SRZ,Spanish
WXN,Mandarin
XAP,Portuguese
XFN,Mandarin
XNN,Mandarin
YAP,English
YBP,Mandarin
YCU,Mandarin
HAV,Spanish
YTY,Mandarin
YYG,English
ZAD,Croatian
ZHA,Mandarin
ZNZ,Swahili
ZUH,Mandarin
DNK,Ukrainian
KSA,Arabic
NJF,Arabic
NAG,Marathi
MGA,Spanish
SAL,Spanish
YXE,English
BDL,English
JDH,Hindi
KMI,Japanese
FNC,Portuguese
LCA,Greek
OMA,English
UDR,Hindi
BAH,Arabic
BOG,Spanish
PRG,Czech
BUD,Hungarian
LRT,French
PUF,French
BIQ,French
BOO,Norwegian
TOS,Norwegian
AGH,Swedish
MMA,Swedish
HIA,Mandarin
SDR,Spanish
SPC,Spanish
VGO,Spanish
VLL,Spanish
ACE,Spanish
EAS,Spanish
FUE,Spanish
GRX,Spanish
LCG,Spanish
LEI,Spanish
OVD,Spanish
SCQ,Spanish
XRY,Spanish
MAH,Spanish
TFS,Spanish
GDL,Spanish
HEL,Finnish
HMO,Spanish
MEX,Spanish
MTY,Spanish
SOF,Bulgarian
TLL,Estonian
AOJ,Japanese
NGS,Japanese
SDJ,Japanese
CTA,Italian
EGE,English
SNA,English
TIR,Telugu
DJE,Arabic
SXB,French
LIL,French
DOY,Mandarin
YIC,Mandarin
BCD,Hiligaynon
DRP,Filipino
GES,Filipino
CGY,Filipino
PPS,Filipino
TAG,Cebuano
ZAM,Chavacano
DGT,Cebuano
NHA,Vietnamese
IWJ,Japanese
SYO,Japanese
TAC,Waray
LAO,Ilocano
BXU,Cebuano
USU,Filipino
RXS,Filipino
DPL,Cebuano
OZC,Cebuano
IAO,Filipino
CYP,Filipino
CBO,Filipino
BSO,Ilocano
CRM,Waray
PAG,Filipino
EUQ,Atayal
AKJ,Japanese
FKS,Japanese
FSZ,Japanese
FUJ,Japanese
HAC,Japanese
KIJ,Japanese
KUH,Japanese
MBE,Japanese
MMB,Japanese
NTQ,Japanese
RIS,Japanese
SHB,Japanese
TSJ,Japanese
WKJ,Japanese
TJQ,Indonesian
PNK,Indonesian
MPH,Filipino
CNX,Thai
COK,Malayalam
LAX,English
GRZ,German
HYD,Telugu
GVA,French
HAN,Vietnamese
KCH,Malay
FRA,German
FUK,Japanese
DVO,Cebuano
DXB,Arabic
KTM,Nepali
LGK,Malay
IST,Turkish
DEL,Hindi
BLR,Kannada
BCN,Spanish
PKU,Indonesian
CMB,Sinhala
CAN,Mandarin
CCU,Bengali
BRU,French
CKG,Mandarin
CEB,Cebuano
AMD,Gujarati
ATH,Greek
ADL,English
AKL,English
CHC,English
RGN,Burmese
CPH,Danish
JNB,English
BKI,Malay
REP,Khmer
JED,Arabic
HAK,Mandarin
HDY,Thai
CNS,English
ATQ,Punjabi
IPH,Malay
KBV,Thai
KUA,Malay
NKG,Mandarin
OOL,English
MFM,Cantonese
SHE,Mandarin
SRG,Indonesian
PUS,Korean
TSN,Mandarin
CRK,Filipino
WUH,Mandarin
BER,German
MAA,Tamil
TRZ,Tamil
BDO,Indonesian
VTE,Lao
CJU,Korean
MUC,German
INN,German
ZRH,German
MDL,Burmese
AMS,Dutch
PER,English
MEL,English
CGO,Mandarin
KHN,Mandarin
NNG,Mandarin
TNA,Mandarin
TAO,Mandarin
DRW,English
BPN,Indonesian
UPG,Indonesian
HKT,Thai
SFO,English
FOC,Mandarin
NGB,Mandarin
BRS,English
CWL,English
OKA,Japanese
SWA,Mandarin
HGH,Mandarin
PSR,Italian
TPS,Italian
OLB,Italian
AHO,Italian
CJB,Tamil
VTZ,Telugu
MYY,Malay
AOR,Malay
JHB,Malay
TGG,Malay
BTU,Malay
SBW,Malay
LBU,Malay
SDK,Malay
TWU,Malay
MKZ,Malay
KJT,Indonesian
PDG,Indonesian
PQC,Vietnamese
ILO,Filipino
LBJ,Indonesian
KBR,Malay
DAD,Vietnamese
CEI,Thai
SIN,English
NRT,Japanese
LHR,English
