f_city_code,f_month_num,f_month_name,f_avg_temp_c,f_avg_rainfall_mm,f_weather_profile_code,f_season_code,f_best_time_to_visit_flag,f_weather_summary
HKG,1,January,15.6,36,humid_subtropical,cool_dry,no,cool and dry
HKG,2,February,17.1,53,humid_subtropical,cool_dry,no,cool with rising humidity
HKG,3,March,19.6,78,humid_subtropical,shoulder,no,milder with light spring rain
HKG,4,April,22.7,132,humid_subtropical,pleasant_peak,yes,warm and generally pleasant
HKG,5,May,25.4,217,humid_subtropical,pleasant_peak,yes,warm and humid before peak rains
HKG,6,June,27.1,322,humid_subtropical,wet_season,no,hot and very wet
HKG,7,July,27.6,263,humid_subtropical,wet_season,no,hottest month with heavy rain
HKG,8,August,27.4,311,humid_subtropical,wet_season,no,hot humid and storm-prone
HKG,9,September,26.6,225,humid_subtropical,pleasant_peak,yes,warm with easing rain
HKG,10,October,24.5,75,humid_subtropical,pleasant_peak,yes,warm and drier
HKG,11,November,21.0,47,humid_subtropical,pleasant_peak,yes,mild and dry
HKG,12,December,16.7,37,humid_subtropical,cool_dry,no,cool dry and comfortable
YVR,1,January,2.9,312,marine_west_coast,wet_cool,no,cold and very wet
YVR,2,February,3.2,200,marine_west_coast,wet_cool,no,cool and rainy
YVR,3,March,4.9,257,marine_west_coast,wet_cool,no,cool with frequent rain
YVR,4,April,7.8,181,marine_west_coast,shoulder,no,milder with less rain
YVR,5,May,11.8,120,marine_west_coast,shoulder,no,pleasant spring weather
YVR,6,June,14.7,103,marine_west_coast,summer_peak,yes,mild and relatively dry
YVR,7,July,17.9,56,marine_west_coast,summer_peak,yes,warmest and driest month
YVR,8,August,18.2,75,marine_west_coast,summer_peak,yes,warm and sunny
YVR,9,September,14.8,123,marine_west_coast,summer_peak,yes,mild early autumn weather
YVR,10,October,10.0,253,marine_west_coast,autumn_shoulder,no,cooler with returning rain
YVR,11,November,5.5,362,marine_west_coast,wet_cool,no,cold and wettest month
YVR,12,December,2.7,309,marine_west_coast,wet_cool,no,cold wet winter weather
SUB,1,January,26.7,296,tropical_savanna,wet_season,no,hot and very wet
SUB,2,February,26.6,265,tropical_savanna,wet_season,no,hot with heavy rain
SUB,3,March,27.0,276,tropical_savanna,wet_season,no,hot and humid
SUB,4,April,27.3,193,tropical_savanna,wet_season,no,hot with easing rain
SUB,5,May,27.6,92,tropical_savanna,shoulder,no,hot and drier
SUB,6,June,27.2,54,tropical_savanna,dry_season,yes,warm and relatively dry
SUB,7,July,27.1,26,tropical_savanna,dry_season,yes,warm dry season
SUB,8,August,27.4,9,tropical_savanna,dry_season,yes,driest month and warm
SUB,9,September,28.1,22,tropical_savanna,dry_season,yes,hottest dry-season stretch
SUB,10,October,28.4,75,tropical_savanna,shoulder,no,hottest month with limited rain
SUB,11,November,27.9,184,tropical_savanna,wet_season,no,humid with rains returning
SUB,12,December,27.1,281,tropical_savanna,wet_season,no,hot and wet
SGN,1,January,26.1,28,tropical_savanna,dry_season,yes,warm and dry
SGN,2,February,27.1,11,tropical_savanna,dry_season,yes,driest and sunny
SGN,3,March,28.3,27,tropical_savanna,dry_season,no,hot and dry
SGN,4,April,28.9,74,tropical_savanna,dry_season,no,hottest pre-rain month
SGN,5,May,28.1,204,tropical_savanna,wet_season,no,humid with wet season onset
SGN,6,June,27.1,248,tropical_savanna,wet_season,no,hot and rainy
SGN,7,July,26.8,260,tropical_savanna,wet_season,no,warm and very wet
SGN,8,August,26.7,279,tropical_savanna,wet_season,no,warm and rainy
SGN,9,September,26.5,308,tropical_savanna,wet_season,no,wettest month
SGN,10,October,26.3,262,tropical_savanna,wet_season,no,warm with heavy rain
SGN,11,November,26.3,142,tropical_savanna,dry_season,yes,warm with rain easing
SGN,12,December,26.0,66,tropical_savanna,dry_season,yes,warm and relatively dry
TRV,1,January,25.6,34,tropical_monsoon,dry_season,yes,warm and drier
TRV,2,February,26.1,57,tropical_monsoon,dry_season,yes,warm with limited rain
TRV,3,March,26.6,125,tropical_monsoon,dry_season,yes,hotter and more humid
TRV,4,April,26.9,190,tropical_monsoon,pre_monsoon,no,humid with rising storms
TRV,5,May,26.6,236,tropical_monsoon,pre_monsoon,no,humid and rainy
TRV,6,June,25.4,319,tropical_monsoon,monsoon,no,wet southwest monsoon
TRV,7,July,25.0,224,tropical_monsoon,monsoon,no,warm and rainy
TRV,8,August,25.0,186,tropical_monsoon,monsoon,no,warm monsoon weather
TRV,9,September,25.3,172,tropical_monsoon,shoulder,no,warm with easing rains
TRV,10,October,25.4,317,tropical_monsoon,northeast_monsoon,no,very wet second rain peak
TRV,11,November,25.4,252,tropical_monsoon,northeast_monsoon,no,warm and wet
TRV,12,December,25.5,85,tropical_monsoon,dry_season,yes,warm and drier
TPE,1,January,16.5,83.2,humid_subtropical,cool_wet,no,cool and damp
TPE,2,February,16.9,170.3,humid_subtropical,cool_wet,no,cool and wetter
TPE,3,March,19.0,180.4,humid_subtropical,spring,no,milder spring weather
TPE,4,April,22.4,177.8,humid_subtropical,pleasant_peak,yes,warm and comfortable
TPE,5,May,25.8,234.5,humid_subtropical,pleasant_peak,yes,warm with heavier rain
