f_city_code,f_safety_tier,f_solo_female_safe
SIN,very_safe,true
HKG,safe,true
LON,safe,true
YVR,safe,true
SUB,caution,false
SGN,moderate,false
TRV,moderate,false
TPE,very_safe,true
SYD,very_safe,true
SZG,very_safe,true
PEN,safe,true
BJS,safe,true
NGO,safe,true
TYO,very_safe,true
RUH,caution,false
SHA,very_safe,true
BKK,safe,true
BNE,safe,true
BOM,caution,false
BWN,safe,true
JKT,safe,true
CPT,moderate,false
DAC,caution,false
DPS,safe,true
MDC,safe,true
PLM,moderate,false
PNH,moderate,false
KLU,very_safe,true
SEA,safe,true
VIE,very_safe,true
KUL,safe,true
MLE,safe,true
MNL,caution,false
MAN,safe,true
LNZ,safe,true
CNX,very_safe,true
COK,safe,true
LAX,moderate,false
GRZ,very_safe,true
HYD,safe,true
SEL,very_safe,true
GVA,very_safe,true
HAN,safe,true
KCH,safe,true
FRA,safe,true
FUK,very_safe,true
ROM,moderate,false
SPK,very_safe,true
DVO,safe,true
DXB,very_safe,true
NYC,moderate,false
KTM,safe,true
LGK,safe,true
IST,moderate,false
DEL,caution,false
BLR,moderate,false
BCN,moderate,false
PKU,moderate,false
CMB,moderate,false
CAN,safe,true
CCU,moderate,false
BRU,moderate,false
CKG,safe,true
CEB,moderate,false
AMD,safe,true
AMI,safe,true
ATH,moderate,false
ADL,very_safe,true
AKL,safe,true
MOW,moderate,false
CHC,very_safe,true
RGN,moderate,false
CPH,very_safe,true
JNB,caution,false
BKI,safe,true
REP,safe,true
JED,moderate,false
HAK,safe,true
HDY,safe,true
CNS,moderate,false
ATQ,moderate,false
IPH,safe,true
KBV,safe,true
KUA,safe,true
NKG,safe,true
OOL,safe,true
MFM,safe,true
SHE,safe,true
SRG,moderate,false
PUS,very_safe,true
TSN,safe,true
CRK,moderate,false
SIA,safe,true
WUH,safe,true
BER,safe,true
MAA,moderate,false
MES,moderate,false
TRZ,moderate,false
BDO,moderate,false
VTE,safe,true
CJU,very_safe,true
OSA,very_safe,true
MUC,very_safe,true
INN,very_safe,true
ZRH,very_safe,true
MDL,moderate,false
PAR,moderate,false
AMS,safe,true
PER,safe,true
MEL,safe,true
MIL,moderate,false
CGO,safe,true
KHN,safe,true
NNG,safe,true
TNA,very_safe,true
TAO,very_safe,true
DRW,safe,true
BPN,moderate,false
UPG,moderate,false
HKT,safe,true
SFO,moderate,false
FOC,safe,true
NGB,safe,true
BRS,safe,true
CWL,safe,true
OXF,very_safe,true
OKA,very_safe,true
SWA,safe,true
HGH,safe,true
PSR,safe,true
TPS,safe,true
JOG,safe,true
OLB,safe,true
AHO,safe,true
CJB,safe,true
VTZ,moderate,false
MYY,safe,true
CTU,safe,true
AOR,safe,true
JHB,safe,true
TGG,safe,true
BTU,safe,true
SBW,safe,true
LBU,safe,true
SDK,safe,true
TWU,safe,true
MKZ,safe,true
LYS,moderate,false
SXB,safe,true
LIL,safe,true
NTE,safe,true
MRS,moderate,false
KJT,safe,true
BLQ,safe,true
FLR,safe,true
NAP,moderate,false
PSA,safe,true
VRN,safe,true
PDG,moderate,false
PQC,safe,true
ILO,moderate,false
LBJ,safe,true
KBR,safe,true
DAD,safe,true
CEI,very_safe,true
EXT,safe,true
