f_destination_country_code,f_passport_country_code,f_country_visa_required,f_visa_policy_code,f_online_apply_url,f_visa_duration_days
SG,SG,no,visa_not_required,,
HK,SG,no,visa_not_required,,90
GB,SG,no,visa_not_required,,180
CA,SG,no,visa_not_required,,180
ID,SG,no,visa_not_required,,30
VN,SG,no,visa_not_required,,30
IN,SG,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,SG,no,visa_not_required,,30
AU,SG,no,visa_not_required,,90
AT,SG,no,visa_not_required,,90
MY,SG,no,visa_not_required,,30
CN,SG,no,visa_not_required,,30
JP,SG,no,visa_not_required,,90
SA,SG,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,SG,no,visa_not_required,,60
BN,SG,no,visa_not_required,,30
ZA,SG,no,visa_not_required,,90
BD,SG,yes,visa_on_arrival,,30
KH,SG,no,visa_not_required,,30
US,SG,no,visa_not_required,,90
MV,SG,yes,visa_on_arrival,,30
PH,SG,no,visa_not_required,,30
KR,SG,no,visa_not_required,,90
CH,SG,no,visa_not_required,,90
DE,SG,no,visa_not_required,,90
IT,SG,no,visa_not_required,,90
AE,SG,no,visa_not_required,,90
NP,SG,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,SG,no,visa_not_required,,90
ES,SG,no,visa_not_required,,90
LK,SG,no,visa_not_required,,30
BE,SG,no,visa_not_required,,90
GR,SG,no,visa_not_required,,90
NZ,SG,no,visa_not_required,,90
RU,SG,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,SG,no,visa_not_required,,30
DK,SG,no,visa_not_required,,90
MO,SG,no,visa_not_required,,30
LA,SG,no,visa_not_required,,30
FR,SG,no,visa_not_required,,90
NL,SG,no,visa_not_required,,90
SG,HK,no,visa_not_required,,30
HK,HK,no,visa_not_required,,
GB,HK,no,visa_not_required,,180
CA,HK,no,visa_not_required,,180
ID,HK,no,visa_not_required,,30
VN,HK,yes,evisa_required,https://evisa.gov.vn/,90
IN,HK,yes,visa_required,,90
TW,HK,yes,evisa_or_visa_on_arrival,https://visawebapp.boca.gov.tw/BOCA_EVISA/MRV04FORM.do,30
AU,HK,no,visa_not_required,,90
AT,HK,no,visa_not_required,,90
MY,HK,no,visa_not_required,,90
CN,HK,no,visa_not_required,,7
JP,HK,no,visa_not_required,,90
SA,HK,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,HK,no,visa_not_required,,60
BN,HK,no,visa_not_required,,14
ZA,HK,no,visa_not_required,,30
BD,HK,yes,visa_on_arrival,,30
KH,HK,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,HK,yes,visa_required,,180
MV,HK,yes,visa_on_arrival,,30
PH,HK,no,visa_not_required,,14
KR,HK,no,visa_not_required,,90
CH,HK,no,visa_not_required,,90
DE,HK,no,visa_not_required,,90
IT,HK,no,visa_not_required,,90
AE,HK,no,visa_not_required,,30
NP,HK,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,HK,no,visa_not_required,,90
ES,HK,no,visa_not_required,,90
LK,HK,yes,evisa_or_visa_on_arrival,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,HK,no,visa_not_required,,90
GR,HK,no,visa_not_required,,90
NZ,HK,no,visa_not_required,,90
RU,HK,no,visa_not_required,,14
MM,HK,yes,visa_on_arrival,,30
DK,HK,no,visa_not_required,,90
MO,HK,no,visa_not_required,,365
LA,HK,no,visa_not_required,,30
FR,HK,no,visa_not_required,,90
NL,HK,no,visa_not_required,,90
SG,GB,no,visa_not_required,,90
HK,GB,no,visa_not_required,,180
GB,GB,no,visa_not_required,,
CA,GB,no,visa_not_required,,180
ID,GB,no,visa_not_required,,30
VN,GB,no,visa_not_required,,45
IN,GB,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,180
TW,GB,no,visa_not_required,,90
AU,GB,no,visa_not_required,,90
AT,GB,no,visa_not_required,,90
MY,GB,no,visa_not_required,,90
CN,GB,no,visa_not_required,,30
JP,GB,no,visa_not_required,,90
SA,GB,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,GB,no,visa_not_required,,60
BN,GB,no,visa_not_required,,90
ZA,GB,no,visa_not_required,,90
BD,GB,yes,visa_on_arrival,,30
KH,GB,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,GB,no,visa_not_required,,90
MV,GB,yes,visa_on_arrival,,30
PH,GB,no,visa_not_required,,30
KR,GB,no,visa_not_required,,90
CH,GB,no,visa_not_required,,90
DE,GB,no,visa_not_required,,90
IT,GB,no,visa_not_required,,90
AE,GB,no,visa_not_required,,90
NP,GB,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,GB,no,visa_not_required,,90
ES,GB,no,visa_not_required,,90
LK,GB,no,visa_not_required,,30
BE,GB,no,visa_not_required,,90
GR,GB,no,visa_not_required,,90
NZ,GB,no,visa_not_required,,90
RU,GB,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,GB,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,GB,no,visa_not_required,,90
MO,GB,no,visa_not_required,,180
LA,GB,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,GB,no,visa_not_required,,90
NL,GB,no,visa_not_required,,90
SG,CA,no,visa_not_required,,30
HK,CA,no,visa_not_required,,90
GB,CA,no,visa_not_required,,180
CA,CA,no,visa_not_required,,
ID,CA,yes,evisa_or_visa_on_arrival,https://evisa.imigrasi.go.id/,30
VN,CA,yes,evisa_required,https://evisa.gov.vn/,90
IN,CA,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,180
TW,CA,no,visa_not_required,,90
AU,CA,no,visa_not_required,,90
AT,CA,no,visa_not_required,,90
MY,CA,no,visa_not_required,,90
CN,CA,no,visa_not_required,,30
JP,CA,no,visa_not_required,,90
SA,CA,yes,evisa_or_visa_on_arrival,https://visa.visitsaudi.com/,90
TH,CA,no,visa_not_required,,60
BN,CA,no,visa_not_required,,14
ZA,CA,no,visa_not_required,,90
BD,CA,yes,visa_on_arrival,,30
KH,CA,yes,evisa_or_visa_on_arrival,https://www.evisa.gov.kh/,30
US,CA,no,visa_not_required,,180
MV,CA,yes,visa_on_arrival,,30
PH,CA,no,visa_not_required,,30
KR,CA,no,visa_not_required,,180
CH,CA,no,visa_not_required,,90
DE,CA,no,visa_not_required,,90
IT,CA,no,visa_not_required,,90
AE,CA,no,visa_not_required,,30
NP,CA,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,CA,no,visa_not_required,,90
ES,CA,no,visa_not_required,,90
LK,CA,no,visa_not_required,,30
BE,CA,no,visa_not_required,,90
GR,CA,no,visa_not_required,,90
NZ,CA,no,visa_not_required,,90
RU,CA,yes,evisa_required,https://evisa.kdmid.ru/,16
MM,CA,yes,evisa_required,https://evisa.moip.gov.mm/,28
DK,CA,no,visa_not_required,,90
MO,CA,no,visa_not_required,,90
LA,CA,yes,evisa_or_visa_on_arrival,https://laoevisa.gov.la/,30
FR,CA,no,visa_not_required,,90
NL,CA,no,visa_not_required,,90
SG,ID,no,visa_not_required,,30
HK,ID,no,visa_not_required,,30
GB,ID,yes,visa_required,,180
CA,ID,yes,visa_required,,180
ID,ID,no,visa_not_required,,
VN,ID,no,visa_not_required,,30
IN,ID,yes,evisa_required,https://www.indianvisaonline.gov.in/evisa/tvoa.html,90
TW,ID,yes,visa_required,,30
AU,ID,yes,evisa_required,https://immi.homeaffairs.gov.au/help-support/applying-online-or-on-paper/online,90
AT,ID,yes,visa_required,,90
MY,ID,no,visa_not_required,,30
CN,ID,yes,visa_required,,30
JP,ID,no,visa_not_required,,15
SA,ID,yes,visa_required,,90
TH,ID,no,visa_not_required,,60
BN,ID,no,visa_not_required,,14
ZA,ID,no,visa_not_required,,30
BD,ID,yes,visa_on_arrival,,30
KH,ID,no,visa_not_required,,30
US,ID,yes,visa_required,,180
MV,ID,yes,visa_on_arrival,,30
PH,ID,no,visa_not_required,,30
KR,ID,yes,visa_required,,90
CH,ID,yes,visa_required,,90
DE,ID,yes,visa_required,,90
IT,ID,yes,visa_required,,90
AE,ID,yes,visa_required,,30
NP,ID,yes,evisa_or_visa_on_arrival,https://www.immigration.gov.np/en/post/online-visa-application-12,90
TR,ID,no,visa_not_required,,30
ES,ID,yes,visa_required,,90
LK,ID,yes,eta_required,https://www.eta.gov.lk/slvisa/visainfo/center.jsp?lang=en&locale=en_US,30
BE,ID,yes,visa_required,,90
