f_city_code,f_public_transport_widely_used_in_country_flag,f_transport_mode
HKG,yes,metro
HKG,yes,bus
HKG,yes,tram
YVR,no,metro
YVR,no,bus
YVR,no,commuter_rail
SUB,no,bus
SUB,no,commuter_rail
SUB,no,angkot
SGN,yes,bus
SGN,yes,metro
TRV,yes,bus
TRV,yes,commuter_rail
TPE,yes,metro
TPE,yes,bus
TPE,yes,high_speed_rail
SYD,no,commuter_rail
SYD,no,bus
SYD,no,light_rail
SYD,no,metro
SZG,yes,bus
SZG,yes,commuter_rail
PEN,yes,bus
NGO,yes,subway
NGO,yes,bus
NGO,yes,commuter_rail
RUH,no,bus
BKK,yes,metro
BKK,yes,bus
BKK,yes,commuter_rail
BKK,yes,light_rail
BNE,no,bus
BNE,no,commuter_rail
BOM,yes,bus
BOM,yes,commuter_rail
BOM,yes,metro
BWN,no,bus
CPT,no,bus
CPT,no,commuter_rail
DAC,yes,bus
DPS,no,bus
DPS,no,ojek
DPS,no,private_driver
DPS,no,scooter_rental
MDC,no,bus
PLM,no,bus
PNH,no,bus
KLU,yes,bus
KLU,yes,commuter_rail
SEA,no,bus
SEA,no,light_rail
SEA,no,commuter_rail
VIE,yes,metro
VIE,yes,tram
VIE,yes,bus
VIE,yes,commuter_rail
KUL,yes,metro
KUL,yes,bus
KUL,yes,commuter_rail
MLE,no,bus
MNL,yes,metro
MNL,yes,bus
MNL,yes,commuter_rail
MAN,no,tram
MAN,no,bus
MAN,no,commuter_rail
LNZ,yes,tram
LNZ,yes,bus
LNZ,yes,commuter_rail
CNX,no,bus
COK,yes,bus
COK,yes,commuter_rail
LAX,no,bus
LAX,no,metro
LAX,no,light_rail
GRZ,yes,tram
GRZ,yes,bus
GRZ,yes,commuter_rail
HYD,yes,bus
HYD,yes,metro
GVA,yes,tram
GVA,yes,bus
GVA,yes,commuter_rail
HAN,yes,bus
HAN,yes,metro
KCH,no,bus
FRA,yes,metro
FRA,yes,tram
FRA,yes,bus
FRA,yes,commuter_rail
FUK,yes,subway
FUK,yes,bus
FUK,yes,commuter_rail
DVO,no,bus
DXB,no,metro
DXB,no,bus
DXB,no,tram
KTM,no,bus
LGK,yes,bus
IST,yes,metro
IST,yes,tram
IST,yes,bus
IST,yes,commuter_rail
DEL,yes,metro
DEL,yes,bus
DEL,yes,commuter_rail
BLR,yes,bus
BLR,yes,metro
BCN,yes,metro
BCN,yes,tram
BCN,yes,bus
BCN,yes,commuter_rail
PKU,no,bus
CMB,yes,bus
CMB,yes,commuter_rail
CAN,yes,metro
CAN,yes,bus
CAN,yes,commuter_rail
CCU,yes,bus
CCU,yes,metro
CCU,yes,commuter_rail
BRU,yes,metro
BRU,yes,tram
BRU,yes,bus
BRU,yes,commuter_rail
CKG,yes,metro
CKG,yes,bus
CEB,no,bus
AMD,yes,bus
ATH,yes,metro
ATH,yes,tram
ATH,yes,bus
ATH,yes,commuter_rail
ADL,no,tram
ADL,no,bus
ADL,no,commuter_rail
AKL,no,bus
AKL,no,commuter_rail
CHC,no,bus
RGN,no,bus
CPH,yes,metro
CPH,yes,bus
CPH,yes,commuter_rail
JNB,no,bus
JNB,no,commuter_rail
BKI,no,bus
REP,no,bus
JED,no,bus
HAK,yes,bus
HDY,yes,bus
CNS,no,bus
ATQ,yes,bus
IPH,yes,bus
KBV,yes,bus
KUA,yes,bus
NKG,yes,metro
NKG,yes,bus
NKG,yes,commuter_rail
OOL,no,bus
MFM,yes,bus
MFM,yes,light_rail
SHE,yes,metro
SHE,yes,bus
SHE,yes,commuter_rail
SRG,no,bus
PUS,yes,metro
PUS,yes,bus
PUS,yes,commuter_rail
TSN,yes,metro
TSN,yes,bus
TSN,yes,commuter_rail
CRK,no,bus
WUH,yes,metro
WUH,yes,bus
WUH,yes,commuter_rail
BER,yes,metro
BER,yes,tram
BER,yes,bus
BER,yes,commuter_rail
MAA,yes,bus
MAA,yes,commuter_rail
TRZ,yes,bus
BDO,no,bus
VTE,no,bus
CJU,yes,bus
MUC,yes,metro
MUC,yes,tram
MUC,yes,bus
MUC,yes,commuter_rail
INN,yes,bus
INN,yes,tram
INN,yes,commuter_rail
ZRH,yes,tram
ZRH,yes,bus
ZRH,yes,commuter_rail
MDL,no,bus
AMS,yes,metro
AMS,yes,tram
AMS,yes,bus
AMS,yes,commuter_rail
PER,no,bus
PER,no,commuter_rail
MEL,no,tram
MEL,no,bus
MEL,no,commuter_rail
CGO,yes,bus
CGO,yes,metro
KHN,yes,bus
KHN,yes,metro
NNG,yes,metro
NNG,yes,bus
TNA,yes,bus
TNA,yes,metro
TAO,yes,metro
TAO,yes,bus
TAO,yes,commuter_rail
DRW,no,bus
BPN,no,bus
UPG,no,bus
HKT,yes,bus
SFO,no,bus
SFO,no,metro
SFO,no,tram
FOC,yes,bus
FOC,yes,metro
NGB,yes,metro
NGB,yes,bus
NGB,yes,commuter_rail
BRS,no,bus
CWL,no,bus
OKA,yes,bus
OKA,yes,metro
SWA,yes,bus
HGH,yes,metro
HGH,yes,bus
HGH,yes,commuter_rail
PSR,yes,bus
TPS,yes,bus
OLB,yes,bus
AHO,yes,bus
CJB,yes,bus
VTZ,yes,bus
MYY,no,bus
AOR,yes,bus
JHB,yes,bus
TGG,yes,bus
BTU,no,bus
SBW,no,bus
LBU,no,bus
SDK,no,bus
TWU,no,bus
MKZ,yes,bus
KJT,no,bus
PDG,no,bus
PQC,yes,bus
ILO,no,bus
LBJ,no,bus
