f_flight_combination,f_departure_airport_code,f_destination_airport_code,f_airline_code,f_currency_code,f_aircraft_code,f_departure_date,f_arrival_date,f_cabin_class,f_trip_type,f_flight_duration,f_total_amount_fare_total
1,SIN,BKK,SQ,SGD,A350-900,2026-05-30T07:50:00,2026-05-30T10:35:00,ECONOMY,O,165,160.50
3,BKK,SIN,SQ,THB,A350-900,2026-05-30T12:15:00,2026-05-30T14:45:00,ECONOMY,O,150,4830.00
5,SIN,BKK,SQ,SGD,B787-10,2026-05-31T08:55:00,2026-05-31T11:40:00,ECONOMY,O,165,160.50
7,BKK,SIN,SQ,THB,B787-10,2026-05-31T13:20:00,2026-05-31T15:50:00,ECONOMY,O,150,4830.00
9,SIN,BKK,SQ,SGD,B787-10,2026-06-01T08:55:00,2026-06-01T11:40:00,ECONOMY,O,165,156.50
11,BKK,SIN,SQ,THB,B787-10,2026-06-01T11:20:00,2026-06-01T13:50:00,ECONOMY,O,150,4040.00
13,SIN,BKK,SQ,SGD,A350-900,2026-06-02T09:00:00,2026-06-02T11:45:00,ECONOMY,O,165,150.50
15,BKK,SIN,SQ,THB,A350-900,2026-06-02T12:25:00,2026-06-02T14:55:00,ECONOMY,O,150,3950.00
17,SIN,BKK,SQ,SGD,B787-10,2026-06-03T07:05:00,2026-06-03T09:50:00,ECONOMY,O,165,150.50
19,BKK,SIN,SQ,THB,B787-10,2026-06-03T13:30:00,2026-06-03T16:00:00,ECONOMY,O,150,3950.00
21,SIN,BKK,SQ,SGD,A350-900,2026-06-04T08:10:00,2026-06-04T10:55:00,ECONOMY,O,165,156.50
23,BKK,SIN,SQ,THB,A350-900,2026-06-04T10:35:00,2026-06-04T13:05:00,ECONOMY,O,150,4040.00
25,SIN,BKK,SQ,SGD,B787-10,2026-06-05T09:15:00,2026-06-05T12:00:00,ECONOMY,O,165,168.50
27,BKK,SIN,SQ,THB,B787-10,2026-06-05T11:15:00,2026-06-05T13:45:00,ECONOMY,O,150,4220.00
29,SIN,BKK,SQ,SGD,A350-900,2026-06-06T07:50:00,2026-06-06T10:35:00,ECONOMY,O,165,168.50
31,BKK,SIN,SQ,THB,A350-900,2026-06-06T12:20:00,2026-06-06T14:50:00,ECONOMY,O,150,4220.00
33,SIN,BKK,SQ,SGD,B787-10,2026-06-07T08:55:00,2026-06-07T11:40:00,ECONOMY,O,165,168.50
35,BKK,SIN,SQ,THB,B787-10,2026-06-07T13:25:00,2026-06-07T15:55:00,ECONOMY,O,150,4220.00
37,SIN,BKK,SQ,SGD,A350-900,2026-06-08T09:00:00,2026-06-08T11:45:00,ECONOMY,O,165,156.50
39,BKK,SIN,SQ,THB,A350-900,2026-06-08T10:30:00,2026-06-08T13:00:00,ECONOMY,O,150,4040.00
41,SIN,BKK,SQ,SGD,B787-10,2026-06-09T07:05:00,2026-06-09T09:50:00,ECONOMY,O,165,150.50
43,BKK,SIN,SQ,THB,B787-10,2026-06-09T11:35:00,2026-06-09T14:05:00,ECONOMY,O,150,3950.00
45,SIN,BKK,SQ,SGD,A350-900,2026-06-10T08:10:00,2026-06-10T10:55:00,ECONOMY,O,165,150.50
47,BKK,SIN,SQ,THB,A350-900,2026-06-10T12:15:00,2026-06-10T14:45:00,ECONOMY,O,150,3950.00
49,SIN,BKK,SQ,SGD,B787-10,2026-06-11T09:15:00,2026-06-11T12:00:00,ECONOMY,O,165,156.50
51,BKK,SIN,SQ,THB,B787-10,2026-06-11T13:20:00,2026-06-11T15:50:00,ECONOMY,O,150,4040.00
53,SIN,BKK,SQ,SGD,A350-900,2026-06-12T07:50:00,2026-06-12T10:35:00,ECONOMY,O,165,168.50
55,BKK,SIN,SQ,THB,A350-900,2026-06-12T10:25:00,2026-06-12T12:55:00,ECONOMY,O,150,4220.00
57,SIN,BKK,SQ,SGD,B787-10,2026-06-13T08:55:00,2026-06-13T11:40:00,ECONOMY,O,165,168.50
59,BKK,SIN,SQ,THB,B787-10,2026-06-13T11:30:00,2026-06-13T14:00:00,ECONOMY,O,150,4220.00
61,SIN,BKK,SQ,SGD,A350-900,2026-06-14T09:00:00,2026-06-14T11:45:00,ECONOMY,O,165,168.50
63,BKK,SIN,SQ,THB,A350-900,2026-06-14T12:35:00,2026-06-14T15:05:00,ECONOMY,O,150,4220.00
65,SIN,BKK,SQ,SGD,B787-10,2026-06-15T07:05:00,2026-06-15T09:50:00,ECONOMY,O,165,156.50
67,BKK,SIN,SQ,THB,B787-10,2026-06-15T13:15:00,2026-06-15T15:45:00,ECONOMY,O,150,4040.00
69,SIN,BKK,SQ,SGD,A350-900,2026-06-16T08:10:00,2026-06-16T10:55:00,ECONOMY,O,165,150.50
71,BKK,SIN,SQ,THB,A350-900,2026-06-16T10:20:00,2026-06-16T12:50:00,ECONOMY,O,150,3950.00
73,SIN,BKK,SQ,SGD,B787-10,2026-06-17T09:15:00,2026-06-17T12:00:00,ECONOMY,O,165,150.50
75,BKK,SIN,SQ,THB,B787-10,2026-06-17T11:25:00,2026-06-17T13:55:00,ECONOMY,O,150,3950.00
77,SIN,BKK,SQ,SGD,A350-900,2026-06-18T07:50:00,2026-06-18T10:35:00,ECONOMY,O,165,156.50
79,BKK,SIN,SQ,THB,A350-900,2026-06-18T12:30:00,2026-06-18T15:00:00,ECONOMY,O,150,4040.00
81,SIN,BKK,SQ,SGD,B787-10,2026-06-19T08:55:00,2026-06-19T11:40:00,ECONOMY,O,165,168.50
83,BKK,SIN,SQ,THB,B787-10,2026-06-19T13:35:00,2026-06-19T16:05:00,ECONOMY,O,150,4220.00
85,SIN,BKK,SQ,SGD,A350-900,2026-06-20T09:00:00,2026-06-20T11:45:00,ECONOMY,O,165,168.50
87,BKK,SIN,SQ,THB,A350-900,2026-06-20T10:15:00,2026-06-20T12:45:00,ECONOMY,O,150,4220.00
89,SIN,BKK,SQ,SGD,B787-10,2026-06-21T07:05:00,2026-06-21T09:50:00,ECONOMY,O,165,168.50
91,BKK,SIN,SQ,THB,B787-10,2026-06-21T11:20:00,2026-06-21T13:50:00,ECONOMY,O,150,4220.00
93,SIN,BKK,SQ,SGD,A350-900,2026-06-22T08:10:00,2026-06-22T10:55:00,ECONOMY,O,165,156.50
95,BKK,SIN,SQ,THB,A350-900,2026-06-22T12:25:00,2026-06-22T14:55:00,ECONOMY,O,150,4040.00
97,SIN,BKK,SQ,SGD,B787-10,2026-06-23T09:15:00,2026-06-23T12:00:00,ECONOMY,O,165,150.50
99,BKK,SIN,SQ,THB,B787-10,2026-06-23T13:30:00,2026-06-23T16:00:00,ECONOMY,O,150,3950.00
101,SIN,BKK,SQ,SGD,A350-900,2026-06-24T07:50:00,2026-06-24T10:35:00,ECONOMY,O,165,150.50
103,BKK,SIN,SQ,THB,A350-900,2026-06-24T10:35:00,2026-06-24T13:05:00,ECONOMY,O,150,3950.00
105,SIN,BKK,SQ,SGD,B787-10,2026-06-25T08:55:00,2026-06-25T11:40:00,ECONOMY,O,165,156.50
107,BKK,SIN,SQ,THB,B787-10,2026-06-25T11:15:00,2026-06-25T13:45:00,ECONOMY,O,150,4040.00
109,SIN,BKK,SQ,SGD,A350-900,2026-06-26T09:00:00,2026-06-26T11:45:00,ECONOMY,O,165,168.50
111,BKK,SIN,SQ,THB,A350-900,2026-06-26T12:20:00,2026-06-26T14:50:00,ECONOMY,O,150,4220.00
113,SIN,BKK,SQ,SGD,B787-10,2026-06-27T07:05:00,2026-06-27T09:50:00,ECONOMY,O,165,168.50
115,BKK,SIN,SQ,THB,B787-10,2026-06-27T13:25:00,2026-06-27T15:55:00,ECONOMY,O,150,4220.00
117,SIN,BKK,SQ,SGD,A350-900,2026-06-28T08:10:00,2026-06-28T10:55:00,ECONOMY,O,165,168.50
119,BKK,SIN,SQ,THB,A350-900,2026-06-28T10:30:00,2026-06-28T13:00:00,ECONOMY,O,150,4220.00
121,SIN,BKK,SQ,SGD,B787-10,2026-06-29T09:15:00,2026-06-29T12:00:00,ECONOMY,O,165,156.50
123,BKK,SIN,SQ,THB,B787-10,2026-06-29T11:35:00,2026-06-29T14:05:00,ECONOMY,O,150,4040.00
125,SIN,BKK,SQ,SGD,A350-900,2026-06-30T07:50:00,2026-06-30T10:35:00,ECONOMY,O,165,150.50
127,BKK,SIN,SQ,THB,A350-900,2026-06-30T12:15:00,2026-06-30T14:45:00,ECONOMY,O,150,3950.00
129,SIN,BKK,SQ,SGD,B787-10,2026-07-01T08:55:00,2026-07-01T11:40:00,ECONOMY,O,165,150.50
131,BKK,SIN,SQ,THB,B787-10,2026-07-01T11:20:00,2026-07-01T13:50:00,ECONOMY,O,150,4130.00
133,SIN,BKK,SQ,SGD,A350-900,2026-07-02T09:00:00,2026-07-02T11:45:00,ECONOMY,O,165,156.50
135,BKK,SIN,SQ,THB,A350-900,2026-07-02T12:25:00,2026-07-02T14:55:00,ECONOMY,O,150,4220.00
137,SIN,BKK,SQ,SGD,B787-10,2026-07-03T07:05:00,2026-07-03T09:50:00,ECONOMY,O,165,168.50
139,BKK,SIN,SQ,THB,B787-10,2026-07-03T13:30:00,2026-07-03T16:00:00,ECONOMY,O,150,4400.00
141,SIN,BKK,SQ,SGD,A350-900,2026-07-04T08:10:00,2026-07-04T10:55:00,ECONOMY,O,165,168.50
143,BKK,SIN,SQ,THB,A350-900,2026-07-04T10:35:00,2026-07-04T13:05:00,ECONOMY,O,150,4400.00
145,SIN,BKK,SQ,SGD,B787-10,2026-07-05T09:15:00,2026-07-05T12:00:00,ECONOMY,O,165,168.50
147,BKK,SIN,SQ,THB,B787-10,2026-07-05T11:15:00,2026-07-05T13:45:00,ECONOMY,O,150,4400.00
149,SIN,BKK,SQ,SGD,A350-900,2026-07-06T07:50:00,2026-07-06T10:35:00,ECONOMY,O,165,156.50
151,BKK,SIN,SQ,THB,A350-900,2026-07-06T12:20:00,2026-07-06T14:50:00,ECONOMY,O,150,4220.00
153,SIN,BKK,SQ,SGD,B787-10,2026-07-07T08:55:00,2026-07-07T11:40:00,ECONOMY,O,165,150.50
155,BKK,SIN,SQ,THB,B787-10,2026-07-07T13:25:00,2026-07-07T15:55:00,ECONOMY,O,150,4130.00
157,SIN,BKK,SQ,SGD,A350-900,2026-07-08T09:00:00,2026-07-08T11:45:00,ECONOMY,O,165,150.50
159,BKK,SIN,SQ,THB,A350-900,2026-07-08T10:30:00,2026-07-08T13:00:00,ECONOMY,O,150,4130.00
161,SIN,BKK,SQ,SGD,B787-10,2026-07-09T07:05:00,2026-07-09T09:50:00,ECONOMY,O,165,156.50
163,BKK,SIN,SQ,THB,B787-10,2026-07-09T11:35:00,2026-07-09T14:05:00,ECONOMY,O,150,4220.00
165,SIN,BKK,SQ,SGD,A350-900,2026-07-10T08:10:00,2026-07-10T10:55:00,ECONOMY,O,165,168.50
167,BKK,SIN,SQ,THB,A350-900,2026-07-10T12:15:00,2026-07-10T14:45:00,ECONOMY,O,150,4400.00
169,SIN,BKK,SQ,SGD,B787-10,2026-07-11T09:15:00,2026-07-11T12:00:00,ECONOMY,O,165,168.50
171,BKK,SIN,SQ,THB,B787-10,2026-07-11T13:20:00,2026-07-11T15:50:00,ECONOMY,O,150,4400.00
173,SIN,BKK,SQ,SGD,A350-900,2026-07-12T07:50:00,2026-07-12T10:35:00,ECONOMY,O,165,168.50
175,BKK,SIN,SQ,THB,A350-900,2026-07-12T10:25:00,2026-07-12T12:55:00,ECONOMY,O,150,4400.00
177,SIN,BKK,SQ,SGD,B787-10,2026-07-13T08:55:00,2026-07-13T11:40:00,ECONOMY,O,165,156.50
179,BKK,SIN,SQ,THB,B787-10,2026-07-13T11:30:00,2026-07-13T14:00:00,ECONOMY,O,150,4220.00
181,SIN,BKK,SQ,SGD,A350-900,2026-07-14T09:00:00,2026-07-14T11:45:00,ECONOMY,O,165,150.50
183,BKK,SIN,SQ,THB,A350-900,2026-07-14T12:35:00,2026-07-14T15:05:00,ECONOMY,O,150,4130.00
185,SIN,BKK,SQ,SGD,B787-10,2026-07-15T07:05:00,2026-07-15T09:50:00,ECONOMY,O,165,150.50
187,BKK,SIN,SQ,THB,B787-10,2026-07-15T13:15:00,2026-07-15T15:45:00,ECONOMY,O,150,4130.00
189,SIN,BKK,SQ,SGD,A350-900,2026-07-16T08:10:00,2026-07-16T10:55:00,ECONOMY,O,165,156.50
191,BKK,SIN,SQ,THB,A350-900,2026-07-16T10:20:00,2026-07-16T12:50:00,ECONOMY,O,150,4220.00
193,SIN,BKK,SQ,SGD,B787-10,2026-07-17T09:15:00,2026-07-17T12:00:00,ECONOMY,O,165,168.50
195,BKK,SIN,SQ,THB,B787-10,2026-07-17T11:25:00,2026-07-17T13:55:00,ECONOMY,O,150,4400.00
