f_target_airport_code,f_airline_code,f_origin_airport_code
HKG,SQ,SIN
HKG,TR,SIN
LHR,SQ,SIN
YVR,SQ,SIN
SUB,SQ,SIN
SUB,TR,SIN
SGN,SQ,SIN
SGN,TR,SIN
TRV,TR,SIN
TPE,SQ,SIN
TPE,TR,SIN
SYD,SQ,SIN
SYD,TR,SIN
SZG,SQ,SIN
PEN,SQ,SIN
PEN,TR,SIN
PEK,SQ,SIN
NGO,SQ,SIN
NRT,SQ,SIN
NRT,TR,SIN
RUH,SQ,SIN
PVG,SQ,SIN
BKK,SQ,SIN
BKK,TR,SIN
BNE,SQ,SIN
BOM,SQ,SIN
BWN,SQ,SIN
CGK,SQ,SIN
CGK,TR,SIN
CPT,SQ,SIN
DAC,SQ,SIN
DPS,SQ,SIN
DPS,TR,SIN
MDC,TR,SIN
PLM,TR,SIN
PNH,SQ,SIN
KLU,SQ,SIN
SEA,SQ,SIN
VIE,SQ,SIN
KUL,SQ,SIN
KUL,TR,SIN
MLE,SQ,SIN
MNL,SQ,SIN
MNL,TR,SIN
MAN,SQ,SIN
LNZ,SQ,SIN
CNX,SQ,SIN
CNX,TR,SIN
COK,SQ,SIN
LAX,SQ,SIN
GRZ,SQ,SIN
HND,SQ,SIN
HND,TR,SIN
HYD,SQ,SIN
HYD,TR,SIN
ICN,SQ,SIN
ICN,TR,SIN
GVA,SQ,SIN
HAN,SQ,SIN
HAN,TR,SIN
KCH,TR,SIN
FRA,SQ,SIN
FUK,SQ,SIN
FCO,SQ,SIN
CTS,SQ,SIN
CTS,TR,SIN
DVO,SQ,SIN
DVO,TR,SIN
DXB,SQ,SIN
EWR,SQ,SIN
KTM,SQ,SIN
LGK,TR,SIN
IST,SQ,SIN
DEL,SQ,SIN
BLR,SQ,SIN
BCN,SQ,SIN
PKU,TR,SIN
CMB,SQ,SIN
CAN,SQ,SIN
CAN,TR,SIN
CCU,SQ,SIN
BRU,SQ,SIN
CKG,SQ,SIN
CEB,SQ,SIN
CEB,TR,SIN
AMD,SQ,SIN
LOP,TR,SIN
ATH,TR,SIN
ADL,SQ,SIN
AKL,SQ,SIN
DME,SQ,SIN
CHC,SQ,SIN
RGN,SQ,SIN
CPH,SQ,SIN
JNB,SQ,SIN
BKI,TR,SIN
JED,TR,SIN
HAK,TR,SIN
HDY,TR,SIN
CNS,SQ,SIN
ATQ,TR,SIN
IPH,TR,SIN
KBV,TR,SIN
KUA,TR,SIN
NKG,TR,SIN
OOL,TR,SIN
MFM,TR,SIN
SHE,TR,SIN
SRG,TR,SIN
PUS,SQ,SIN
TSN,TR,SIN
CRK,TR,SIN
XIY,TR,SIN
WUH,TR,SIN
BER,TR,SIN
MAA,SQ,SIN
KNO,SQ,SIN
KNO,TR,SIN
TRZ,TR,SIN
BDO,SQ,SIN
VTE,TR,SIN
CJU,TR,SIN
KIX,SQ,SIN
KIX,TR,SIN
MUC,SQ,SIN
INN,SQ,SIN
ZRH,SQ,SIN
MDL,SQ,SIN
CDG,SQ,SIN
AMS,SQ,SIN
PER,SQ,SIN
PER,TR,SIN
MEL,SQ,SIN
MEL,TR,SIN
MXP,SQ,SIN
CGO,TR,SIN
KHN,TR,SIN
NNG,TR,SIN
TNA,TR,SIN
TAO,TR,SIN
DRW,SQ,SIN
BPN,TR,SIN
UPG,TR,SIN
HKT,SQ,SIN
HKT,TR,SIN
SFO,SQ,SIN
JFK,SQ,SIN
FOC,TR,SIN
NGB,TR,SIN
BRS,SQ,SIN
CWL,SQ,SIN
OKA,TR,SIN
SWA,TR,SIN
HGH,SQ,SIN
HGH,TR,SIN
LGW,SQ,SIN
PSR,SQ,SIN
TPS,SQ,SIN
YIA,TR,SIN
OLB,SQ,SIN
AHO,SQ,SIN
CJB,TR,SIN
VTZ,TR,SIN
MYY,TR,SIN
TFU,SQ,SIN
SAI,SQ,SIN
AOR,SQ,SIN
JHB,SQ,SIN
TGG,SQ,SIN
BTU,SQ,SIN
SBW,TR,SIN
LBU,SQ,SIN
SDK,SQ,SIN
TWU,SQ,SIN
PKX,SQ,SIN
SZB,SQ,SIN
SZB,TR,SIN
MKZ,TR,SIN
KJT,TR,SIN
PDG,TR,SIN
PQC,TR,SIN
ILO,TR,SIN
KTI,SQ,SIN
LBJ,TR,SIN
KBR,TR,SIN
DAD,SQ,SIN
DAD,TR,SIN
CEI,TR,SIN
SIN,SQ,HKG
SIN,TR,HKG
SIN,SQ,LHR
SIN,SQ,YVR
SIN,SQ,SUB
SIN,TR,SUB
SIN,SQ,SGN
SIN,TR,SGN
SIN,TR,TRV
SIN,SQ,TPE
SIN,TR,TPE
SIN,SQ,SYD
SIN,TR,SYD
SIN,SQ,SZG
SIN,SQ,PEN
SIN,TR,PEN
SIN,SQ,PEK
SIN,SQ,NGO
SIN,SQ,NRT
SIN,TR,NRT
SIN,SQ,RUH
SIN,SQ,PVG
SIN,SQ,BKK
SIN,TR,BKK
SIN,SQ,BNE
SIN,SQ,BOM
SIN,SQ,BWN
SIN,SQ,CGK
SIN,TR,CGK
SIN,SQ,CPT
SIN,SQ,DAC
SIN,SQ,DPS
SIN,TR,DPS
SIN,TR,MDC
SIN,TR,PLM
SIN,SQ,PNH
SIN,SQ,KLU
SIN,SQ,SEA
SIN,SQ,VIE
SIN,SQ,KUL
SIN,TR,KUL
SIN,SQ,MLE
SIN,SQ,MNL
SIN,TR,MNL
SIN,SQ,MAN
SIN,SQ,LNZ
SIN,SQ,CNX
SIN,TR,CNX
SIN,SQ,COK
SIN,SQ,LAX
SIN,SQ,GRZ
SIN,SQ,HND
SIN,TR,HND
SIN,SQ,HYD
SIN,TR,HYD
SIN,SQ,ICN
SIN,TR,ICN
SIN,SQ,GVA
SIN,SQ,HAN
SIN,TR,HAN
SIN,TR,KCH
SIN,SQ,FRA
SIN,SQ,FUK
SIN,SQ,FCO
SIN,SQ,CTS
SIN,TR,CTS
SIN,SQ,DVO
SIN,TR,DVO
SIN,SQ,DXB
SIN,SQ,EWR
SIN,SQ,KTM
SIN,TR,LGK
SIN,SQ,IST
SIN,SQ,DEL
SIN,SQ,BLR
SIN,SQ,BCN
SIN,TR,PKU
SIN,SQ,CMB
SIN,SQ,CAN
SIN,TR,CAN
SIN,SQ,CCU
SIN,SQ,BRU
SIN,SQ,CKG
SIN,SQ,CEB
SIN,TR,CEB
SIN,SQ,AMD
SIN,TR,LOP
SIN,TR,ATH
SIN,SQ,ADL
SIN,SQ,AKL
SIN,SQ,DME
SIN,SQ,CHC
SIN,SQ,RGN
SIN,SQ,CPH
SIN,SQ,JNB
SIN,TR,BKI
SIN,TR,JED
SIN,TR,HAK
SIN,TR,HDY
SIN,SQ,CNS
SIN,TR,ATQ
SIN,TR,IPH
SIN,TR,KBV
SIN,TR,KUA
SIN,TR,NKG
SIN,TR,OOL
SIN,TR,MFM
SIN,TR,SHE
SIN,TR,SRG
SIN,SQ,PUS
SIN,TR,TSN
SIN,TR,CRK
SIN,TR,XIY
SIN,TR,WUH
SIN,TR,BER
SIN,SQ,MAA
SIN,SQ,KNO
SIN,TR,KNO
SIN,TR,TRZ
SIN,SQ,BDO
SIN,TR,VTE
SIN,TR,CJU
SIN,SQ,KIX
SIN,TR,KIX
SIN,SQ,MUC
SIN,SQ,INN
SIN,SQ,ZRH
SIN,SQ,MDL
SIN,SQ,CDG
SIN,SQ,AMS
SIN,SQ,PER
SIN,TR,PER
SIN,SQ,MEL
SIN,TR,MEL
SIN,SQ,MXP
SIN,TR,CGO
SIN,TR,KHN
SIN,TR,NNG
SIN,TR,TNA
SIN,TR,TAO
SIN,SQ,DRW
SIN,TR,BPN
SIN,TR,UPG
SIN,SQ,HKT
SIN,TR,HKT
SIN,SQ,SFO
SIN,SQ,JFK
SIN,TR,FOC
SIN,TR,NGB
SIN,SQ,BRS
SIN,SQ,CWL
SIN,TR,OKA
SIN,TR,SWA
SIN,SQ,HGH
SIN,TR,HGH
SIN,SQ,LGW
SIN,SQ,PSR
SIN,SQ,TPS
SIN,TR,YIA
SIN,SQ,OLB
SIN,SQ,AHO
SIN,TR,CJB
SIN,TR,VTZ
SIN,TR,MYY
SIN,SQ,TFU
SIN,SQ,SAI
SIN,SQ,AOR
SIN,SQ,JHB
SIN,SQ,TGG
SIN,SQ,BTU
SIN,TR,SBW
SIN,SQ,LBU
SIN,SQ,SDK
SIN,SQ,TWU
SIN,SQ,PKX
SIN,SQ,SZB
SIN,TR,SZB
SIN,TR,MKZ
SIN,TR,KJT
SIN,TR,PDG
SIN,TR,PQC
SIN,TR,ILO
SIN,SQ,KTI
SIN,TR,LBJ
SIN,TR,KBR
SIN,SQ,DAD
SIN,TR,DAD
SIN,TR,CEI
