f_airport_code,f_airport_name,f_city_code
SIN,Changi,SIN
HKG,Hong Kong Intl,HKG
LHR,Heathrow,LON
YUL,Pierre Elliott Trudeau Intl,YMQ
YVR,Vancouver Intl,YVR
XMN,Xiamen Gaoqi Intl,XMN
YEG,Edmonton Intl,YEA
SUB,Juanda Intl,SUB
SNN,Shannon,SNN
SLC,Salt Lake City intl,SLC
SAN,San Diego Intl,SAN
STL,Lambert Intl,STL
SGD,Sonderborg,SGD
SGN,Tan Son Nhat,SGN
TRV,Trivandrum International Airport,TRV
TLS,Blagnac,TLS
TPE,Taoyuan Intl Airport,TPE
SVG,Sola,SVG
SYD,Kingsford Smith,SYD
SYR,Hancock Intl,SYR
SZG,Wolfgang A Mozart,SZG
SZX,Shenzhen,SZX
PHX,Sky Harbor Intl,PHX
PMR,Palmerston North Intl,PMR
PEN,Penang Intl,PEN
ORD,Ohare Intl,CHI
ORK,Cork,ORK
PDX,Portland Intl,PDX
PEK,Capital Intl,BJS
NCE,Cote D'Azur,NCE
NCL,Newcastle Intl,NCL
NGO,Chubu Centrair Intl,NGO
NPE,Hawke's Bay,NPE
NPL,New Plymouth,NPL
NRT,Narita,TYO
SAT,San Antonio Intl,SAT
RUH,King Khaled Intl,RUH
RNN,Bornholm,RNN
ROT,Rotorua Regional ,ROT
PVG,Pu Dong,SHA
BKK,Suvarnabhumi Airport,BKK
BNE,Brisbane Intl,BNE
BOI,Boise Airport,BOI
BOM,Chhatrapati Shivaji Intl,BOM
BWN,Brunei Intl,BWN
CAI,Cairo Intl,CAI
CGK,Soekarno Intl,JKT
COS,Peterson Field,COS
MSP,Saint Paul Intl,MSP
CPT,Cape Town Intl,CPT
CVG,Northern Kentucky Intl,CVG
DAC,Hazrat Shahjalal Intl,DAC
DAL,Love Field,DFW
DPS,Ngurah Rai Intl,DPS
MIA,Miami Intl,MIA
GOT,Landvetter,GOT
IAD,Dulles Intl,WAS
MDC,Sam Ratulangi,MDC
PLM,Sultan Badaruddin II,PLM
PNH,Pochentong,PNH
IAH,Intercontinental,HOU
DUS,Dusseldorf Intl,DUS
PIT,Pittsburgh Intl,PIT
PLZ,Port Elizabeth,PLZ
KLU,Woerthersee,KLU
SEA,Tacoma International Airport,SEA
ELS,East London,ELS
VIE,Schwechat,VIE
TRF,Oslo Sandefjord,OSL
TRG,Tauranga,TRG
KUL,Kuala Lumpur Intl,KUL
BIO,Sondica,BIO
MLE,Velana International Airport,MLE
MNL,Ninoy Aquino Intl,MNL
BWI,Washington Intl,BWI
MAN,Manchester Ringway  Intl,MAN
LNZ,Hoersching,LNZ
CNX,Chiang Mai Intl,CNX
COK,Kochi International Airport,COK
LAS,McCarran Intl,LAS
LAX,Los Angeles Intl,LAX
CTU,Chengdu,CTU
GRZ,Thalerhof,GRZ
HND,Haneda Intl,TYO
