f_airport_code,f_airport_type,f_terminal_count,f_is_international,f_has_transit_hotel,f_has_lounge
SIN,large_airport,4,true,true,true
HKG,large_airport,2,true,true,true
LHR,large_airport,4,true,true,true
YVR,large_airport,2,true,true,true
SUB,large_airport,2,true,false,true
SGN,large_airport,3,true,false,true
TRV,large_airport,2,true,false,true
TPE,large_airport,2,true,true,true
SYD,large_airport,3,true,true,true
SZG,large_airport,2,true,false,true
PEN,large_airport,1,true,false,true
PEK,large_airport,3,true,true,true
NGO,large_airport,2,true,true,true
NRT,large_airport,3,true,true,true
RUH,large_airport,5,true,false,true
PVG,large_airport,4,true,true,true
BKK,large_airport,2,true,true,true
BNE,large_airport,2,true,false,true
BOM,large_airport,2,true,true,true
BWN,large_airport,1,true,true,true
CGK,large_airport,3,true,true,true
CPT,large_airport,2,true,false,true
DAC,large_airport,3,true,false,true
DPS,large_airport,2,true,true,true
MDC,large_airport,1,true,false,true
PLM,medium_airport,1,true,false,true
PNH,large_airport,2,true,false,false
KLU,large_airport,1,true,false,false
SEA,large_airport,3,true,false,true
VIE,large_airport,4,true,false,true
KUL,large_airport,3,true,true,true
MLE,large_airport,3,true,false,true
MNL,large_airport,4,true,true,true
MAN,large_airport,2,true,false,true
LNZ,large_airport,1,true,false,true
CNX,large_airport,2,true,false,true
COK,large_airport,3,true,true,true
LAX,large_airport,9,true,false,true
GRZ,large_airport,1,true,false,true
HND,large_airport,3,true,true,true
HYD,large_airport,1,true,false,true
ICN,large_airport,2,true,true,true
GVA,large_airport,2,true,false,true
HAN,large_airport,2,true,true,true
KCH,large_airport,1,true,false,true
FRA,large_airport,2,true,true,true
FUK,large_airport,2,true,false,true
FCO,large_airport,2,true,true,true
CTS,large_airport,2,true,true,true
DVO,large_airport,1,true,false,true
DXB,large_airport,3,true,true,true
EWR,large_airport,3,true,false,true
KTM,large_airport,2,true,false,true
LGK,medium_airport,1,true,false,true
IST,large_airport,1,true,true,true
DEL,large_airport,3,true,true,true
BLR,large_airport,2,true,true,true
BCN,large_airport,2,true,true,true
PKU,medium_airport,1,true,false,true
CMB,large_airport,3,true,true,true
CAN,large_airport,3,true,true,true
CCU,large_airport,1,true,false,true
BRU,large_airport,1,true,false,true
CKG,large_airport,3,true,false,true
CEB,large_airport,2,true,false,true
