f_city_code,f_cuisine_type
SIN,Hawker
HKG,Cantonese
LON,British
YVR,Pacific Northwest
SUB,Javanese
SGN,Southern Vietnamese
TRV,Kerala
TPE,Taiwanese
SYD,Modern Australian
SZG,Austrian
PEN,Penang Nyonya
BJS,Beijing
NGO,Nagoya
TYO,Japanese
RUH,Najdi
SHA,Shanghainese
BKK,Thai
BNE,Modern Australian
BOM,Maharashtrian
BWN,Bruneian Malay
JKT,Betawi
CPT,Cape Malay
DAC,Bengali
DPS,Balinese
MDC,Minahasan
PLM,Palembang
PNH,Khmer
KLU,Carinthian
SEA,Pacific Northwest
VIE,Viennese
KUL,Malaysian
MLE,Dhivehi
MNL,Filipino
MAN,British
LNZ,Upper Austrian
CNX,Northern Thai
COK,Kerala
LAX,Californian
GRZ,Styrian
HYD,Hyderabadi
SEL,Korean
GVA,Swiss
HAN,Northern Vietnamese
KCH,Sarawakian
FRA,Hessian
FUK,Hakata
ROM,Roman
SPK,Hokkaido
DVO,Mindanaoan
DXB,Emirati
NYC,New York
KTM,Nepali
LGK,Kedah
IST,Turkish
DEL,Mughlai
BLR,Kannada
BCN,Catalan
PKU,Malay
CMB,Sri Lankan
CAN,Cantonese
CCU,Bengali
BRU,Belgian
CKG,Chongqing
CEB,Cebuano
AMD,Gujarati
AMI,Sasak
ATH,Greek
ADL,Modern Australian
AKL,New Zealand
MOW,Russian
CHC,New Zealand
RGN,Burmese
CPH,Danish
JNB,South African
BKI,Sabahan
REP,Khmer
JED,Hejazi
HAK,Hainanese
HDY,Southern Thai
CNS,Tropical North Queensland
ATQ,Punjabi
IPH,Perak
KBV,Southern Thai
KUA,Pahang
NKG,Huaiyang
OOL,Modern Australian
MFM,Macanese
SHE,Northeastern Chinese
SRG,Javanese
PUS,Busan
TSN,Tianjin
CRK,Kapampangan
SIA,Shaanxi
WUH,Hubei
BER,German
MAA,Tamil
MES,Medanese
TRZ,Chettinad
BDO,Sundanese
VTE,Lao
CJU,Jeju
OSA,Osakan
MUC,Bavarian
INN,Tyrolean
ZRH,Swiss
MDL,Burmese
PAR,French
AMS,Dutch
PER,Western Australian
MEL,Modern Australian
MIL,Lombard
CGO,Henan
KHN,Jiangxi
NNG,Guangxi
TNA,Shandong
TAO,Qingdao
DRW,Top End
BPN,East Kalimantan
UPG,Makassarese
HKT,Peranakan Thai
SFO,Californian
FOC,Fujian
NGB,Ningbo
BRS,West Country
CWL,Welsh
OXF,British
OKA,Okinawan
SWA,Chaoshan
HGH,Zhejiang
PSR,Abruzzese
TPS,Sicilian
JOG,Javanese
OLB,Sardinian
AHO,Sardinian
CJB,Kongunadu
VTZ,Andhra
MYY,Sarawakian
CTU,Sichuan
AOR,Kedah
JHB,Johor
TGG,Terengganu
BTU,Bornean
SBW,Foochow
LBU,Labuan
SDK,Sabahan
TWU,Sabahan
MKZ,Malaccan Nyonya
LYS,Lyonnaise
SXB,Alsatian
LIL,Flemish
NTE,Nantais
MRS,Provencal
KJT,Sundanese
BLQ,Bolognese
FLR,Tuscan
NAP,Neapolitan
PSA,Tuscan
VRN,Veronese
PDG,Minangkabau
PQC,Phu Quoc Seafood
ILO,Ilonggo
LBJ,Flores
KBR,Kelantanese
DAD,Central Vietnamese
CEI,Northern Thai
EXT,Devonshire
