f_city_code,f_travel_style
HKG,city_break
HKG,foodie
HKG,shopping
HKG,nightlife
HKG,family_friendly
HKG,luxury
YVR,nature_getaway
YVR,outdoors
YVR,city_break
YVR,foodie
YVR,family_friendly
SUB,foodie
SUB,cultural_heritage
SUB,city_break
SUB,budget_friendly
SGN,city_break
SGN,foodie
SGN,nightlife
SGN,cultural_heritage
SGN,budget_friendly
TRV,beach_escape
TRV,wellness
TRV,cultural_heritage
TRV,relaxation
TPE,city_break
TPE,foodie
TPE,shopping
TPE,nightlife
TPE,cultural_heritage
SYD,city_break
SYD,beach_escape
SYD,nightlife
SYD,luxury
SYD,family_friendly
SZG,cultural_heritage
SZG,mountain_escape
SZG,romantic
SZG,scenic
PEN,foodie
PEN,beach_escape
PEN,cultural_heritage
PEN,city_break
NGO,city_break
NGO,foodie
NGO,cultural_heritage
NGO,family_friendly
RUH,city_break
RUH,cultural_heritage
BKK,city_break
BKK,foodie
BKK,nightlife
BKK,shopping
BKK,budget_friendly
BNE,city_break
BNE,outdoors
BNE,family_friendly
BNE,relaxation
BOM,city_break
BOM,foodie
BOM,nightlife
BWN,cultural_heritage
BWN,relaxation
BWN,city_break
CPT,beach_escape
CPT,nature_getaway
CPT,wine_getaway
CPT,romantic
CPT,outdoors
DAC,city_break
DAC,foodie
DAC,cultural_heritage
DPS,beach_escape
DPS,romantic
DPS,wellness
DPS,luxury
DPS,nightlife
MDC,diving
MDC,nature_getaway
MDC,adventure
MDC,beach_escape
PLM,foodie
PLM,cultural_heritage
PLM,city_break
PNH,cultural_heritage
PNH,city_break
PNH,foodie
PNH,budget_friendly
KLU,mountain_escape
KLU,scenic
KLU,outdoors
SEA,city_break
SEA,foodie
SEA,outdoors
SEA,coffee_culture
VIE,cultural_heritage
VIE,city_break
VIE,classical_music
VIE,romantic
VIE,luxury
KUL,city_break
KUL,foodie
KUL,shopping
KUL,family_friendly
MLE,island_escape
MLE,beach_escape
MLE,romantic
MLE,luxury
MLE,diving
MNL,city_break
MNL,foodie
MNL,shopping
MNL,nightlife
MAN,city_break
MAN,nightlife
MAN,football_trip
MAN,music_scene
LNZ,city_break
LNZ,cultural_heritage
LNZ,scenic
CNX,cultural_heritage
CNX,foodie
CNX,nature_getaway
CNX,wellness
CNX,budget_friendly
COK,foodie
COK,cultural_heritage
COK,backwater_escape
COK,relaxation
LAX,city_break
LAX,shopping
LAX,nightlife
LAX,beach_escape
LAX,entertainment
GRZ,city_break
GRZ,cultural_heritage
GRZ,scenic
HYD,foodie
HYD,city_break
HYD,cultural_heritage
GVA,luxury
GVA,scenic
GVA,city_break
GVA,romantic
HAN,cultural_heritage
HAN,foodie
HAN,city_break
HAN,budget_friendly
KCH,nature_getaway
KCH,cultural_heritage
KCH,foodie
KCH,relaxation
FRA,city_break
FRA,cultural_heritage
FUK,foodie
FUK,city_break
FUK,relaxation
FUK,cultural_heritage
DVO,nature_getaway
DVO,beach_escape
DVO,foodie
DVO,adventure
DXB,luxury
DXB,shopping
DXB,city_break
DXB,nightlife
DXB,family_friendly
KTM,adventure
KTM,cultural_heritage
KTM,mountain_escape
KTM,spiritual
LGK,beach_escape
LGK,relaxation
LGK,romantic
LGK,family_friendly
IST,cultural_heritage
IST,foodie
IST,shopping
IST,city_break
IST,romantic
DEL,cultural_heritage
DEL,foodie
DEL,city_break
BLR,foodie
BLR,city_break
BLR,nightlife
BCN,beach_escape
BCN,city_break
BCN,nightlife
BCN,cultural_heritage
BCN,architecture
PKU,foodie
PKU,budget_friendly
PKU,city_break
CMB,beach_escape
CMB,cultural_heritage
CMB,foodie
CMB,city_break
CAN,foodie
CAN,shopping
CAN,city_break
CCU,cultural_heritage
CCU,foodie
CCU,city_break
CCU,budget_friendly
BRU,city_break
BRU,cultural_heritage
BRU,foodie
BRU,romantic
CKG,foodie
CKG,city_break
CKG,cultural_heritage
CKG,nightlife
CEB,beach_escape
CEB,island_escape
CEB,diving
CEB,adventure
AMD,foodie
AMD,cultural_heritage
AMD,city_break
ATH,cultural_heritage
ATH,city_break
ATH,romantic
ATH,island_gateway
ADL,foodie
ADL,wine_getaway
ADL,relaxation
ADL,city_break
