f_departure_airport_code,f_destination_airport_code,f_airline_code,f_currency_code,f_aircraft_code,f_departure_date,f_arrival_date,f_cabin_class,f_trip_type,f_flight_duration,f_total_amount_fare_total,f_num_of_last_seats
SIN,BKK,SQ,SGD,A350-900,2026-05-30T07:50:00,2026-05-30T10:35:00,ECONOMY,O,165,160.5,112
BKK,SIN,SQ,THB,A350-900,2026-05-30T12:15:00,2026-05-30T14:45:00,ECONOMY,O,150,4830.0,445
SIN,BKK,SQ,SGD,B787-10,2026-05-31T08:55:00,2026-05-31T11:40:00,ECONOMY,O,165,160.5,358
BKK,SIN,SQ,THB,B787-10,2026-05-31T13:20:00,2026-05-31T15:50:00,ECONOMY,O,150,4830.0,280
SIN,BKK,SQ,SGD,B787-10,2026-06-01T08:55:00,2026-06-01T11:40:00,ECONOMY,O,165,156.5,116
BKK,SIN,SQ,THB,B787-10,2026-06-01T11:20:00,2026-06-01T13:50:00,ECONOMY,O,150,4040.0,81
SIN,BKK,SQ,SGD,A350-900,2026-06-02T09:00:00,2026-06-02T11:45:00,ECONOMY,O,165,150.5,198
BKK,SIN,SQ,THB,A350-900,2026-06-02T12:25:00,2026-06-02T14:55:00,ECONOMY,O,150,3950.0,30
SIN,BKK,SQ,SGD,B787-10,2026-06-03T07:05:00,2026-06-03T09:50:00,ECONOMY,O,165,150.5,112
BKK,SIN,SQ,THB,B787-10,2026-06-03T13:30:00,2026-06-03T16:00:00,ECONOMY,O,150,3950.0,131
SIN,BKK,SQ,SGD,A350-900,2026-06-04T08:10:00,2026-06-04T10:55:00,ECONOMY,O,165,156.5,476
BKK,SIN,SQ,THB,A350-900,2026-06-04T10:35:00,2026-06-04T13:05:00,ECONOMY,O,150,4040.0,224
SIN,BKK,SQ,SGD,B787-10,2026-06-05T09:15:00,2026-06-05T12:00:00,ECONOMY,O,165,168.5,340
BKK,SIN,SQ,THB,B787-10,2026-06-05T11:15:00,2026-06-05T13:45:00,ECONOMY,O,150,4220.0,468
SIN,BKK,SQ,SGD,A350-900,2026-06-06T07:50:00,2026-06-06T10:35:00,ECONOMY,O,165,168.5,97
BKK,SIN,SQ,THB,A350-900,2026-06-06T12:20:00,2026-06-06T14:50:00,ECONOMY,O,150,4220.0,382
SIN,BKK,SQ,SGD,B787-10,2026-06-07T08:55:00,2026-06-07T11:40:00,ECONOMY,O,165,168.5,109
BKK,SIN,SQ,THB,B787-10,2026-06-07T13:25:00,2026-06-07T15:55:00,ECONOMY,O,150,4220.0,369
